"Datetime","Self_Id","Source_IP","SIM_Operator","App_Version","Result_Type","Download_Target","Download_Success","Download_Mbit_sec","Download_Bytes","Download_Usec","Upload_Target","Upload_Success","Upload_Mbit_sec","Upload_Bytes","Upload_Usec","Latency_Target","Latency_Success","Latency_Avg_Msec","Latency_Min_Msec","Latency_Max_Msec","Latency_Loss_Pct","Active_Interface_Type","Network_Operator","Roaming","GSM Signal","CDMA DBM"
"Sat Jun 08 07:59:14 EDT 2013","tmobile - demo note2","208.54.90.246","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","16.426872","18468292","8994184","samknows2.nyc2.level3.net","true","12.885888","18350592","11392675","samknows2.nyc2.level3.net","true","145.298","37.156","714.901","0%","mobile","T-Mobile","false","31","",
"Sat Jun 08 13:55:12 EDT 2013","tmobile - demo note2","208.54.90.246","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","16.323352","18591468","9111589","samknows2.nyc2.level3.net","true","12.61412","18350592","11638126","samknows2.nyc2.level3.net","true","136.339","38.69","660.277","0%","mobile","T-Mobile","false","31","",
"Sat Jun 08 19:51:22 EDT 2013","tmobile - demo note2","208.54.90.246","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","16.51692","18356340","8890923","samknows2.nyc2.level3.net","true","11.937544","18350592","12297732","samknows2.nyc2.level3.net","true","124.772","36.067","692.693","0%","mobile","T-Mobile","false","31","",
"Sun Jun 09 07:02:40 EDT 2013","tmobile - demo note2","208.54.90.171","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","16.382304","18341376","8956675","samknows2.nyc2.level3.net","true","11.871384","18350592","12366267","samknows2.nyc2.level3.net","true","150.892","36.107","937.578","0%","mobile","T-Mobile","false","31","",
"Sun Jun 09 09:03:08 EDT 2013","tmobile - demo note2","208.54.90.171","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","11.858976","18243172","12306739","samknows2.nyc2.level3.net","true","12.322872","18350592","11913186","samknows2.nyc2.level3.net","true","132.106","37.128","546.443","0%","mobile","T-Mobile","false","31","",
"Sun Jun 09 18:12:48 EDT 2013","tmobile - demo note2","208.54.90.171","310260","1.24","scheduled_tests","samknows2.nyc2.level3.net","true","12.94492","18251028","11279185","samknows2.nyc2.level3.net","true","0.24396","1057792","34687352","samknows2.nyc2.level3.net","true","68.799","33.183","790.005","0%","mobile","T-Mobile","false","31","",
"Mon Jun 10 09:52:07 EDT 2013","tmobile - demo note2","208.54.90.253","310260","1.24","manual_test","samknows2.nyc2.level3.net","true","19.05068","18609820","7814866","samknows2.nyc2.level3.net","true","15.318904","18350592","9583237","samknows2.nyc2.level3.net","true","138.505","37.416","558.787","0%","mobile","T-Mobile","false","31","",
"Mon Jun 10 09:53:49 EDT 2013","tmobile - demo note2","208.54.90.253","310260","1.24","manual_test","samknows2.nyc2.level3.net","true","18.900336","18352164","7767973","samknows2.nyc2.level3.net","true","13.62508","18350592","10774593","samknows2.nyc2.level3.net","true","137.405","34.844","620.468","0%","mobile","T-Mobile","false","29","",
"Mon Jun 10 09:59:31 EDT 2013","tmobile - demo note2","208.54.90.253","310260","1.24","init_test","","","","","","","","","","","","","","","","","mobile","T-Mobile","false","29","",
"Mon Jun 10 16:21:09 EDT 2013","tmobile - demo note2","208.54.90.173","310260","1.24","manual_test","samknows1.wdc4.level3.net","true","16.695648","18360600","8797789","samknows1.wdc4.level3.net","true","11.582528","18350592","12674666","samknows1.wdc4.level3.net","true","120.469","35.928","761.212","0%","mobile","T-Mobile","false","27","",
"Mon Jun 10 16:26:50 EDT 2013","tmobile - demo note2","208.54.90.173","310260","1.24","manual_test","samknows1.wdc4.level3.net","true","18.966792","18369120","7747907","samknows1.wdc4.level3.net","true","13.204096","18350592","11118115","samknows1.wdc4.level3.net","true","156.264","39.69","526.619","0%","mobile","T-Mobile","false","28","",
"Mon Jun 10 16:35:14 EDT 2013","tmobile - demo note2","208.54.90.173","310260","1.24","manual_test","samknows1.wdc4.level3.net","true","18.66172","18336460","7860565","samknows1.wdc4.level3.net","true","15.908072","18350592","9228317","samknows1.wdc4.level3.net","true","138.154","30.845","781.972","0%","mobile","T-Mobile","false","27","",
"Mon Jun 10 16:36:29 EDT 2013","tmobile - demo note2","208.54.90.173","310260","1.24","manual_test","samknows1.wdc4.level3.net","true","16.523464","18359180","8888777","samknows1.wdc4.level3.net","true","13.562744","18350592","10824113","samknows1.wdc4.level3.net","true","129.278","36.333","550.89","0%","mobile","T-Mobile","false","28","",
"Mon Jun 10 18:39:25 EDT 2013","tmobile - demo note2","208.54.90.173","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","18.720248","18464848","7890854","samknows1.wdc4.level3.net","true","15.464208","18350592","9493193","samknows1.wdc4.level3.net","true","161.195","36.138","381.795","0%","mobile","T-Mobile","false","28","",
"Tue Jun 11 07:53:15 EDT 2013","tmobile - demo note2","208.54.35.243","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","18.658992","18517244","7939225","samknows1.wdc4.level3.net","true","17.448328","18350592","8413685","samknows1.wdc4.level3.net","true","124.45","29.62","571.625","0%","mobile","T-Mobile","false","27","",
"Tue Jun 11 10:31:58 EDT 2013","tmobile - demo note2","208.54.35.243","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.336096","18223224","8924149","samknows1.wdc4.level3.net","true","11.238456","18350592","13062705","samknows1.wdc4.level3.net","true","120.471","20.499","510.114","0%","mobile","T-Mobile","false","23","",
"Tue Jun 11 17:26:13 EDT 2013","tmobile - demo note2","208.54.35.159","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.829176","18269480","8684668","samknows1.wdc4.level3.net","true","12.5208","18350592","11724864","samknows1.wdc4.level3.net","true","124.805","29.269","931.894","0%","mobile","T-Mobile","false","31","",
"Wed Jun 12 08:58:06 EDT 2013","tmobile - demo note2","208.54.35.159","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.428864","18353568","8937229","samknows1.wdc4.level3.net","true","12.992112","18350592","11299525","samknows1.wdc4.level3.net","true","123.136","29.409","348.834","0%","mobile","T-Mobile","false","27","",
"Wed Jun 12 10:38:51 EDT 2013","tmobile - demo note2","208.54.35.159","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.70976","18346400","8783559","samknows1.wdc4.level3.net","true","11.278456","18350592","13016384","samknows1.wdc4.level3.net","true","138.468","29.315","918.516","0%","mobile","T-Mobile","false","27","",
"Wed Jun 12 19:48:32 EDT 2013","tmobile - demo note2","208.54.35.213","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.41744","18380480","8956563","samknows1.wdc4.level3.net","true","9.767472","18350592","15029959","samknows1.wdc4.level3.net","true","136.34","31.447","943.842","0%","mobile","T-Mobile","false","31","",
"Thu Jun 13 08:16:54 EDT 2013","tmobile - demo note2","208.54.35.244","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.585888","18492336","8919548","samknows1.wdc4.level3.net","true","9.506304","18350592","15442876","samknows1.wdc4.level3.net","true","141.665","27.303","1025.746","0%","mobile","T-Mobile","false","31","",
"Thu Jun 13 17:33:23 EDT 2013","tmobile - demo note2","208.54.35.152","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.476168","18657032","9058918","samknows1.wdc4.level3.net","true","12.547872","18350592","11699565","samknows1.wdc4.level3.net","true","125.002","29.662","342.825","0%","mobile","T-Mobile","false","31","",
"Fri Jun 14 07:28:33 EDT 2013","tmobile - demo note2","208.54.90.215","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.487224","18333424","8895819","samknows1.wdc4.level3.net","true","14.728696","18350592","9967257","samknows1.wdc4.level3.net","true","128.539","37.974","536.844","0%","mobile","T-Mobile","false","31","",
"Fri Jun 14 15:36:45 EDT 2013","tmobile - demo note2","208.54.90.215","310260","1.24","scheduled_tests","samknows1.wdc4.level3.net","true","16.496272","18508708","8975947","samknows1.wdc4.level3.net","true","13.00532","18350592","11288046","samknows1.wdc4.level3.net","true","136.717","31.306","729.167","0%","mobile","T-Mobile","false","28","",
